# Time[s], Amplitude[v]
0.000000000000000000e+00,-1.965599942650442397e-06
4.999999999999999774e-07,-1.439099935396370753e-06
9.999999999999999547e-07,-4.212000271763827313e-07
1.500000000000000038e-06,2.808000226650620006e-07
1.999999999999999909e-06,7.721999713794503192e-07
2.500000000000000205e-06,1.333799971234839084e-06
3.000000000000000076e-06,1.439099978597368969e-06
3.499999999999999947e-06,1.614599955246376382e-06
3.999999999999999819e-06,1.333799964413628973e-06
4.500000000000000114e-06,3.509999851303291528e-07
5.000000000000000409e-06,-2.106000010826392046e-07
5.499999999999999857e-06,-9.476999775870354084e-07
6.000000000000000152e-06,-9.125999758907710498e-07
6.499999999999999600e-06,-6.317999896054971540e-07
6.999999999999999895e-06,1.754999925651645764e-07
7.500000000000000190e-06,4.913999737254925876e-07
7.999999999999999638e-06,9.125999736170342404e-07
8.499999999999999933e-06,1.052999980402091675e-06
9.000000000000000228e-06,1.333799959866155354e-06
9.500000000000000523e-06,1.790099956906487958e-06
1.000000000000000082e-05,2.246399928935715975e-06
1.049999999999999942e-05,2.702699921428575384e-06
1.099999999999999971e-05,2.983499880429008095e-06
1.150000000000000001e-05,2.878199923088686960e-06
1.200000000000000030e-05,2.176199905079556714e-06
1.250000000000000060e-05,1.263599958747363340e-06
1.299999999999999920e-05,3.861000004690140507e-07
1.349999999999999949e-05,-1.053000028150563589e-07
1.399999999999999979e-05,-6.317999645943927790e-07
1.450000000000000009e-05,-1.052999973580881564e-06
1.500000000000000038e-05,-1.158299987764621560e-06
1.550000000000000068e-05,-7.019999839030788449e-07
1.599999999999999928e-05,-6.317999850580236409e-07
1.650000000000000127e-05,-5.615999793917581143e-07
1.699999999999999987e-05,-4.913999873679131269e-07
1.749999999999999847e-05,-5.264999686005467295e-07
1.800000000000000046e-05,-3.159000061714323068e-07
1.849999999999999906e-05,-1.053000005413196023e-07
1.900000000000000105e-05,3.861000050164875638e-07
1.949999999999999965e-05,7.370999833256063940e-07
2.000000000000000164e-05,1.017899969610880396e-06
2.050000000000000024e-05,1.158299944563623344e-06
2.099999999999999884e-05,1.263599947378679610e-06
2.150000000000000083e-05,1.193399980365938998e-06
2.199999999999999943e-05,8.423999884143995756e-07
2.250000000000000142e-05,3.860999913740670245e-07
2.300000000000000002e-05,2.456999663991154849e-07
2.349999999999999862e-05,-1.053000005413196023e-07
2.400000000000000061e-05,-2.807999726428534095e-07
2.449999999999999921e-05,-3.861000027427508072e-07
2.500000000000000120e-05,-4.913999987365968568e-07
2.549999999999999980e-05,-4.914000032840703699e-07
2.599999999999999840e-05,-3.510000169626437181e-08
2.650000000000000039e-05,4.562999765767017422e-07
2.699999999999999899e-05,5.615999816654948179e-07
2.750000000000000098e-05,9.125999940806651022e-07
2.799999999999999958e-05,1.193400007650780077e-06
2.850000000000000157e-05,1.474199939366371921e-06
2.900000000000000017e-05,1.509299938788899470e-06
2.949999999999999877e-05,1.509299979716160982e-06
3.000000000000000076e-05,1.228499970693519521e-06
3.049999999999999936e-05,8.072999912656087301e-07
3.100000000000000135e-05,3.159000198138528461e-07
3.149999999999999995e-05,4.913999691780190745e-07
3.199999999999999855e-05,3.510000055939599618e-07
3.249999999999999715e-05,4.562999879453855249e-07
3.300000000000000253e-05,3.861000232063816162e-07
3.350000000000000113e-05,5.264999549581261902e-07
3.399999999999999973e-05,5.264999663268099200e-07
3.449999999999999833e-05,6.317999577731825623e-07
3.499999999999999693e-05,1.088099963908462087e-06
3.550000000000000231e-05,1.123199972425936662e-06
3.600000000000000091e-05,1.158299951384833455e-06
3.649999999999999951e-05,6.317999850580236409e-07
3.699999999999999811e-05,3.510000397000112836e-08
3.749999999999999671e-05,-6.668999958492350257e-07
3.800000000000000209e-05,-1.298699942253733752e-06
3.850000000000000069e-05,-1.754999912009225278e-06
3.899999999999999929e-05,-2.386799878877354972e-06
3.949999999999999789e-05,-2.807999890137580037e-06
4.000000000000000327e-05,-2.527199876567465168e-06
4.050000000000000187e-05,-2.597399920887255609e-06
4.100000000000000047e-05,-1.895399925615493035e-06
4.149999999999999907e-05,-1.298699949074944075e-06
4.199999999999999768e-05,-4.562999924928590380e-07
4.250000000000000305e-05,4.913999691780190745e-07
4.300000000000000165e-05,1.052999975854618267e-06
4.350000000000000026e-05,1.123199981520883688e-06
4.399999999999999886e-05,1.052999971307144648e-06
4.449999999999999746e-05,7.722000032117648050e-07
4.500000000000000283e-05,4.913999805467029102e-07
4.550000000000000144e-05,4.562999924928590380e-07
4.600000000000000004e-05,6.317999873317603445e-07
4.649999999999999864e-05,5.264999799692304593e-07
4.699999999999999724e-05,5.967000038253900383e-07
4.750000000000000262e-05,-7.019999657131847396e-08
4.800000000000000122e-05,-5.615999702968110881e-07
4.849999999999999982e-05,-1.228499959324835791e-06
4.899999999999999842e-05,-1.649699936479009878e-06
4.949999999999999702e-05,-2.035799952864181437e-06
5.000000000000000240e-05,-1.965599949471652508e-06
5.050000000000000100e-05,-1.263599970116047282e-06
5.099999999999999960e-05,-3.861000004690140507e-07
5.149999999999999820e-05,5.966999856354959859e-07
5.199999999999999680e-05,1.052999971307144648e-06
5.250000000000000218e-05,1.158299962753517397e-06
5.300000000000000078e-05,4.562999879453855249e-07
5.349999999999999938e-05,-7.019999657131847396e-08
5.399999999999999798e-05,-6.668999571957101114e-07
5.450000000000000336e-05,-1.298699946801207160e-06
5.500000000000000196e-05,-1.649699916015379122e-06
5.550000000000000056e-05,-2.176199927816924173e-06
5.599999999999999916e-05,-2.035799934674287384e-06
5.649999999999999776e-05,-1.790099925074173472e-06
5.700000000000000314e-05,-1.368899957014946199e-06
5.750000000000000174e-05,-1.158299971848464423e-06
5.800000000000000034e-05,-8.072999708019778683e-07
5.849999999999999894e-05,-1.052999973580881564e-06
5.899999999999999754e-05,-1.017899946873512724e-06
5.950000000000000292e-05,-1.333799932581314275e-06
6.000000000000000152e-05,-1.052999923558672814e-06
6.050000000000000012e-05,-7.370999787781329868e-07
6.099999999999999872e-05,-7.019999588919745758e-07
6.150000000000000410e-05,-7.020000111879198706e-08
6.200000000000000270e-05,3.509999510242778575e-07
6.250000000000000130e-05,1.158299946837360048e-06
6.299999999999999990e-05,1.193399998555833050e-06
6.349999999999999850e-05,1.333799943949998217e-06
6.399999999999999710e-05,1.123199920129991420e-06
6.449999999999999570e-05,7.370999446720815856e-07
6.499999999999999431e-05,1.754999493641662284e-07
6.550000000000000646e-05,-7.370999787781329868e-07
6.600000000000000506e-05,-1.193399955354834623e-06
6.650000000000000366e-05,-1.474199966651212788e-06
6.700000000000000226e-05,-1.579499949002638510e-06
6.750000000000000086e-05,-9.827999565459322015e-07
6.799999999999999946e-05,-2.105999851664819353e-07
6.849999999999999806e-05,1.755000221237423851e-07
6.899999999999999667e-05,5.615999702968110881e-07
6.949999999999999527e-05,9.476999707658250858e-07
6.999999999999999387e-05,1.052999969033407945e-06
7.050000000000000602e-05,6.668999913017615126e-07
7.100000000000000462e-05,-1.052999687090050371e-07
7.150000000000000322e-05,-9.476999662183515727e-07
7.200000000000000182e-05,-9.476999684920883822e-07
7.250000000000000043e-05,-9.125999577008769975e-07
7.299999999999999903e-05,-7.721999486420827537e-07
7.349999999999999763e-05,-4.913999850941764233e-07
7.399999999999999623e-05,3.510001079121139139e-08
7.449999999999999483e-05,5.615999748442846012e-07
7.499999999999999343e-05,1.088099959360988679e-06
7.550000000000000558e-05,1.790099952359014339e-06
7.600000000000000418e-05,1.895399964269017843e-06
7.650000000000000279e-05,1.965599940376705693e-06
7.700000000000000139e-05,1.298699976359785153e-06
7.749999999999999999e-05,1.754999971126380895e-07
7.799999999999999859e-05,-3.159000061714323068e-07
7.849999999999999719e-05,-1.298699996823415909e-06
7.899999999999999579e-05,-1.965599931281758455e-06
7.949999999999999439e-05,-2.351699902192194883e-06
8.000000000000000654e-05,-2.386799919804616484e-06
8.050000000000000515e-05,-1.895399943805387087e-06
8.100000000000000375e-05,-1.193399955354834623e-06
8.150000000000000235e-05,-1.755000175762688720e-07
8.200000000000000095e-05,2.807999794640636791e-07
8.249999999999999955e-05,9.125999667958240237e-07
8.299999999999999815e-05,4.913999805467029102e-07
8.349999999999999675e-05,2.457000027789035897e-07
8.399999999999999535e-05,-1.052999823514255632e-07
8.449999999999999395e-05,-1.755000243974791416e-07
8.500000000000000611e-05,3.510004944473621303e-08
8.550000000000000471e-05,3.159000311825366289e-07
8.600000000000000331e-05,8.774999901106639342e-07
8.650000000000000191e-05,1.895399943805387087e-06
8.700000000000000051e-05,2.351699961309350447e-06
8.749999999999999911e-05,2.597399932255939551e-06
8.799999999999999771e-05,1.825199938139121455e-06
8.849999999999999631e-05,7.721999713794503192e-07
8.899999999999999491e-05,-1.403999999638472176e-07
8.949999999999999351e-05,-1.474199909807793927e-06
9.000000000000000567e-05,-1.930499927311757499e-06
9.050000000000000427e-05,-2.211299943155609071e-06
9.100000000000000287e-05,-2.105999956256709942e-06
9.150000000000000147e-05,-1.684799949543958073e-06
9.200000000000000007e-05,-1.509299934241425851e-06
9.249999999999999867e-05,-3.509999805828556397e-07
9.299999999999999727e-05,3.509999578454880742e-07
9.349999999999999587e-05,1.052999980402091675e-06
9.399999999999999448e-05,1.509299943336372878e-06
9.450000000000000663e-05,1.509299950157583200e-06
9.500000000000000523e-05,1.333799968961102380e-06
9.550000000000000383e-05,7.019999497970275496e-07
9.600000000000000243e-05,-1.755000198500056285e-07
9.650000000000000103e-05,-1.193399966723518353e-06
9.699999999999999963e-05,-2.000699910240655248e-06
9.749999999999999823e-05,-2.316599914138350852e-06
9.799999999999999684e-05,-2.562299907822307415e-06
9.849999999999999544e-05,-2.667599908363627189e-06
9.899999999999999404e-05,-2.281499930631980651e-06
9.950000000000000619e-05,-1.790099966001434984e-06
1.000000000000000048e-04,-1.544399958675057775e-06
1.005000000000000034e-04,-1.439099962681211832e-06
1.010000000000000020e-04,-9.125999667958240237e-07
1.015000000000000006e-04,-4.913999850941764233e-07
1.019999999999999992e-04,-3.860999822791199983e-07
1.024999999999999978e-04,-2.456999709465889980e-07
1.029999999999999964e-04,-4.562999788504384987e-07
1.034999999999999950e-04,-1.364242052659392306e-14
1.039999999999999936e-04,2.807999771903269226e-07
1.045000000000000058e-04,7.370999833256063940e-07
1.050000000000000044e-04,7.019999770818685224e-07
1.055000000000000030e-04,8.072999685282411646e-07
1.060000000000000016e-04,3.860999299831746506e-07
1.065000000000000002e-04,2.273736754432320642e-15
1.069999999999999988e-04,1.755000107550586023e-07
1.074999999999999974e-04,-1.755000130287953589e-07
1.079999999999999960e-04,-4.914000078315438830e-07
1.084999999999999946e-04,-4.562999788504384987e-07
1.090000000000000067e-04,-1.052999846251623197e-07
1.095000000000000053e-04,1.403999863214267047e-07
1.100000000000000039e-04,3.509999896778026659e-07
1.105000000000000025e-04,6.668999731118674602e-07
1.110000000000000011e-04,1.053000005413196023e-07
1.114999999999999997e-04,-3.158999675179074984e-07
1.119999999999999983e-04,-4.562999743029649856e-07
1.124999999999999969e-04,-4.562999629342812029e-07
1.129999999999999955e-04,-8.423999906881362792e-07
1.134999999999999941e-04,-9.476999775870354084e-07
1.140000000000000063e-04,-9.827999656408792277e-07
1.145000000000000049e-04,-5.615999839392316274e-07
1.150000000000000035e-04,-2.456999959576933200e-07
1.155000000000000021e-04,2.105999760715349091e-07
1.160000000000000007e-04,5.615999839392316274e-07
1.164999999999999993e-04,4.562999856716487684e-07
1.169999999999999979e-04,-1.052999891726358328e-07
1.174999999999999965e-04,-6.668999526482365983e-07
1.179999999999999951e-04,-9.476999730395618953e-07
1.184999999999999937e-04,-1.123199974699673577e-06
1.190000000000000058e-04,-1.017899987800774448e-06
1.195000000000000044e-04,-4.212000021652784093e-07
1.200000000000000030e-04,1.052999618877947807e-07
1.205000000000000016e-04,8.423999952356097923e-07
1.210000000000000002e-04,1.017899962789670073e-06
1.214999999999999988e-04,5.966999742668122561e-07
1.219999999999999974e-04,2.106000147250597439e-07
1.224999999999999960e-04,-3.509999919515394225e-07
1.230000000000000082e-04,-7.370999719569226642e-07
1.234999999999999932e-04,-1.228499966146046114e-06
1.240000000000000054e-04,-1.368899977478576955e-06
1.244999999999999904e-04,-1.614599937056482329e-06
1.250000000000000026e-04,-1.614599941603955737e-06
1.254999999999999877e-04,-1.544399956401321072e-06
1.259999999999999998e-04,-1.158299983217148153e-06
1.265000000000000120e-04,-7.019999884505523580e-07
1.269999999999999970e-04,-3.860999913740670245e-07
1.275000000000000092e-04,2.456999914102198069e-07
1.279999999999999942e-04,-3.510001533868489787e-08
